
date,day,time,location,title,department
2025-10-06,lunedì,10–12,via Pietro Giuria 1,Apertura istituzionale della Strada delle scoperte con i saluti della Magnifica Rettrice dell'Università di Torino e delle autorità cittadine,
2025-10-06,lunedì,14:00–14:30,Piazzetta DST — via Pietro Giuria 1,Giornata Mondiale della Geodiversità: la Terra si Racconta - Geodiversity Day,DST
2025-10-06,lunedì,14:30–15:30,Partenza via Valperga Caluso 35 → percorso Orto Botanico → via Pietro Giuria / corso Raffaello,Le rocce sono tra di noi,DST
2025-10-06,lunedì,15:30–18:00,Piazzetta Fisica — via Pietro Giuria 1,Capire la corrente giocando con le macchinine elettriche di una volta,Fisica
2025-10-06,lunedì,15:30–18:00,Piazzetta DST — via Pietro Giuria 1,(Dis)avventure sul Pianeta Terra,DST
2025-10-07,martedì,9–13,Piazzetta DSTF — via Pietro Giuria 9,Analisi del mercurio nei prodotti ittici,DSTF
2025-10-07,martedì,10–12,Piazzetta DSTF — via Pietro Giuria 9,Come nasce e funziona un farmaco?,DSTF
2025-10-07,martedì,10–13,Piazzetta Fisica — via Pietro Giuria 1,Capire la corrente giocando con le macchinine elettriche di una volta,Fisica
2025-10-07,martedì,11–12,Piazzetta DSTF — via Pietro Giuria 9,Gioco dell’Oca della Scienza,DSTF
2025-10-07,martedì,10–13,Piazzetta DST — via Pietro Giuria 1,Trasformiamo scarti in opportunità,DST
2025-10-07,martedì,14–17,Piazzetta DSTF — via Pietro Giuria 9,"Alla scoperta delle forme, dei colori e dei profumi delle piante",DSTF
2025-10-07,martedì,15–17,Piazzetta Fisica — via Pietro Giuria 1,La classe aumentata,Fisica
2025-10-07,martedì,16–17,Piazzetta Fisica — via Pietro Giuria 1,La testa tra le nuvole: uno sguardo meteorologico dall’alto,Fisica
2025-10-07,martedì,17–18,Laboratorio di contattologia — via Pietro Giuria 1,La visione dei colori,Fisica
2025-10-07,martedì,18:30,"Sede del Dipartimento di Chimica, Aula Avogadro, Via Giuria 7","Spettacolo teatrale ""+88 frequenze""",Chimica
2025-10-08,mercoledì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Le apparenze (a volte) ingannano,DSTF
2025-10-08,mercoledì,10,Piazzetta Fisica — via Pietro Giuria 1,A caccia di bolidi e meteoriti con il progetto PRISMA - La cagnetta Pimpa ed il ritrovamento della meteorite di Cavezzo,Fisica
2025-10-08,mercoledì,10–14,Piazzetta DST — via Pietro Giuria 1,Attrazione magnetica,DST
2025-10-08,mercoledì,10–16,Piazzetta DST — via Pietro Giuria 1,"Rocce sotto stress: storie di montagne, oceani scomparsi e terremoti",DST
2025-10-08,mercoledì,10–13,Piazzetta Fisica — via Pietro Giuria 1,Via Giuria 238 (radioattività naturale),Fisica
2025-10-08,mercoledì,14–17,Piazzetta DSTF — via Pietro Giuria 9,Divertiamoci con l’elettrochimica,DSTF
2025-10-08,mercoledì,15–18,Piazzetta Fisica — via Pietro Giuria 1,La grande vasca rotante: lo studio dei moti atmosferici in laboratorio,Fisica
2025-10-09,giovedì,10–12,Piazzetta DSTF — via Pietro Giuria 9,Scoprire nuovi farmaci: un viaggio nel Metaverso!,DSTF
2025-10-09,giovedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,Il Signor cubetto on the road,DSTF
2025-10-09,giovedì,10–13,Piazzetta DST — via Pietro Giuria 1,Come ritrovare i reperti archeologici con la geofisica,DST
2025-10-09,giovedì,10–13,Piazzetta DSTF — via Pietro Giuria 9,"Alla scoperta delle forme, dei colori e dei profumi delle piante",DSTF
2025-10-09,giovedì,11–12,partenza via Valperga Caluso 35 — percorso Orto Botanico → via Giuria / corso Raffaello,Le rocce sono tra di noi,DST
2025-10-09,giovedì,14–18,Piazzetta DSTF — via Pietro Giuria 9,SfidaQuiz! Trova la risposta nel minor tempo possibile,DSTF
2025-10-09,giovedì,15–17,Piazzetta DSTF — via Pietro Giuria 9,Oltre l’etichetta: capire medicinali e prodotti del benessere,DSTF
2025-10-09,giovedì,15–18,Piazzetta DST — via Pietro Giuria 1,I Fossili: la Vita nel Tempo Profondo,DST
2025-10-09,giovedì,18:00,Piazzetta Chimica — via Pietro Giuria 7,Conferenza prima di cena – edizione speciale Parola d’ordine: interdisciplinare,Chimica
2025-10-10,venerdì,9–13,Piazzetta DST — via Pietro Giuria 1,Presentazione concorso nazionale crescita cristalli,DST
2025-10-10,venerdì,10–11,Piazzetta Fisica — via Pietro Giuria 1,I quanti a colori,Fisica
2025-10-10,venerdì,10–13,Piazzetta Fisica — via Pietro Giuria 1,Via Giuria 238 (radioattività naturale),Fisica
2025-10-10,venerdì,10–12,Piazzetta Chimica — via Pietro Giuria 5-7,Puzzleing Women in Science (Scienziate puzzle-ate),Chimica
2025-10-10,venerdì,11–13,Piazzetta DST — via Pietro Giuria 15,Studiare le Scienze della Terra,DST
2025-10-10,venerdì,11–13,Piazzetta DSTF — via Pietro Giuria 9,Oltre l’etichetta: capire medicinali e prodotti del benessere,DSTF
2025-10-10,venerdì,14–16,Piazzetta DST — via Pietro Giuria 1,Tesori nascosti: alla scoperta delle acque sotterranee,DST
